15659		BA	3
13822		SP	3
13550		SP	4
13363		MG	3
11432		MA	3
10371		PA	3
7255		CE	3
6572		SP	2
6368		RJ	3
6259		MG	4
6184		PE	3
5867		RS	3
5487		PR	3
5301		RJ	4
5281		PI	3
5081		AM	3
4319		MG	2
4290		SC	3
3895		PB	3
3435		RN	3
3297		BA	4
3216		PE	4
3165		RS	4
2752		ES	3
2751		GO	3
2604		CE	4
2549		RS	2
2474		AL	3
2399		PR	4
2164		PR	2
1823		MT	3
1608		SC	4
1572		SE	3
1547		RJ	2
1534		TO	3
1394		MA	4
1371		SC	2
1334		GO	4
1305		MA	2
1168		BA	2
1083		PE	2
1046		PA	4
1040		GO	2
1022		PB	4
1009		AC	3
1008		RN	4
993		MS	3
954		PA	2
824		MT	2
821		RN	2
787		RO	3
786		AM	2
775		PI	2
761		CE	2
704		DF	4
695		PB	2
692		DF	2
669		AC	2
650		ES	4
625		SE	4
619		AL	4
610		ES	2
599		TO	2
565		PI	4
545		MT	4
519		MS	4
468		RR	3
422		RO	2
416		AP	3
406		AP	2
401		RR	2
366		MS	2
340		SE	2
325		AL	2
265		TO	4
212		RO	4
106		AP	4
82		MG	1
66		RJ	1
65		RR	4
50		RS	1
49		AC	4
45		SP	1
39		SC	1
34		CE	1
32		BA	1
31		MA	1
29		PR	1
27		GO	1
26		PB	1
24		PA	1
23		ES	1
19		MT	1
18		AM	1
17		AL	1
11		TO	1
10		SE	1
7		RR	1
6		AP	1
